pl_name,hostname,sy_snum,sy_pnum,discoverymethod,disc_year,disc_facility,pl_controv_flag,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_radj,pl_radjerr1,pl_radjerr2,pl_radjlim,pl_bmasse,pl_bmasseerr1,pl_bmasseerr2,pl_bmasselim,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_bmassjlim,pl_bmassprov,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,pl_insol,pl_insolerr1,pl_insolerr2,pl_insollim,pl_eqt,pl_eqterr1,pl_eqterr2,pl_eqtlim,ttv_flag,st_spectype,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_rad,st_raderr1,st_raderr2,st_radlim,st_mass,st_masserr1,st_masserr2,st_masslim,st_met,st_meterr1,st_meterr2,st_metlim,st_metratio,st_logg,st_loggerr1,st_loggerr2,st_logglim,rastr,ra,decstr,dec,sy_dist,sy_disterr1,sy_disterr2,sy_vmag,sy_vmagerr1,sy_vmagerr2,sy_kmag,sy_kmagerr1,sy_kmagerr2,sy_gaiamag,sy_gaiamagerr1,sy_gaiamagerr2
11 Com b,11 Com,2,1,Radial Velocity,2007,Xinglong Station,0,326.03,0.32,-0.32,0,1.29,0.05,-0.05,0,12.1,,,0,1.08,,,0,6165.6,476.7,-476.7,0,19.4,1.5,-1.5,0,Msini,0.231,0.005,-0.005,0,,,,,,,,,0,G8 III,4742,100,-100,0,19,2,-2,0,2.7,0.3,-0.3,0,-0.35,0.09,-0.09,0,[Fe/H],2.31,0.1,-0.1,0,12h20m42.91s,185.1787793,+17d47m35.71s,17.7932516,93.1846,1.9238,-1.9238,4.72307,0.023,-0.023,2.282,0.346,-0.346,4.44038,0.0038479,-0.0038479
11 UMi b,11 UMi,1,1,Radial Velocity,2009,Thueringer Landessternwarte Tautenburg,0,516.21997,3.2,-3.2,0,1.53,0.07,-0.07,0,12.3,,,0,1.09,,,0,4684.8142,794.575,-794.575,0,14.74,2.5,-2.5,0,Msini,0.08,0.03,-0.03,0,,,,,,,,,0,K4 III,4213,46,-46,0,29.79,2.84,-2.84,0,2.78,0.69,-0.69,0,-0.02,,,0,[Fe/H],1.93,0.07,-0.07,0,15h17m05.90s,229.2745954,+71d49m26.19s,71.8239428,125.321,1.9765,-1.9765,5.013,0.005,-0.005,1.939,0.27,-0.27,4.56216,0.0039035,-0.0039035
14 And b,14 And,1,1,Radial Velocity,2008,Okayama Astrophysical Observatory,0,185.84,0.23,-0.23,0,0.83,,,0,12.9,,,0,1.15,,,0,1525.5,,,0,4.8,,,0,Msini,0,,,0,,,,,,,,,0,K0 III,4813,20,-20,0,11,1,-1,0,2.2,0.1,-0.2,0,-0.24,0.03,-0.03,0,[Fe/H],2.63,0.07,-0.07,0,23h31m17.80s,352.82415,+39d14m09.01s,39.2358367,75.4392,0.714,-0.714,5.23133,0.023,-0.023,2.331,0.24,-0.24,4.91781,0.0028262,-0.0028262
14 Her b,14 Her,1,1,Radial Velocity,2002,W. M. Keck Observatory,0,1773.40002,2.5,-2.5,0,2.93,0.08,-0.08,0,12.9,,,0,1.15,,,0,1481.0878,47.6745,-47.6745,0,4.66,0.15,-0.15,0,Msini,0.37,0,0,0,,,,,,,,,0,K0 V,5338,25,-25,0,0.93,0.01,-0.01,0,0.9,0.04,-0.04,0,0.41,,,0,[Fe/H],4.45,0.02,-0.02,0,16h10m24.50s,242.6021014,+43d48m58.90s,43.8163621,17.9323,0.0073,-0.0073,6.61935,0.023,-0.023,4.714,0.016,-0.016,6.383,0.0003512,-0.0003512
16 Cyg B b,16 Cyg B,3,1,Radial Velocity,1996,Multiple Observatories,0,798.5,1,-1,0,1.66,0.03,-0.03,0,13.5,,,0,1.2,,,0,565.7374,25.4264,-25.4264,0,1.78,0.08,-0.08,0,Msini,0.68,0.02,-0.02,0,,,,,,,,,0,G3 V,5750,8,-8,0,1.13,0.01,-0.01,0,1.08,0.04,-0.04,0,0.06,,,0,[Fe/H],4.36,0.01,-0.01,0,19h41m51.75s,295.4656422,+50d31m00.57s,50.5168243,21.1397,0.011,-0.0111,6.215,0.016,-0.016,4.651,0.016,-0.016,6.06428,0.0006029,-0.0006029
18 Del b,18 Del,2,1,Radial Velocity,2008,Okayama Astrophysical Observatory,0,993.3,3.2,-3.2,0,2.6,,,0,12.5,,,0,1.11,,,0,3273.5,,,0,10.3,,,0,Msini,0.08,0.01,-0.01,0,,,,,,,,,0,G6 III,4979,18,-18,0,8.5,,,0,2.3,,,0,-0.052,0.023,-0.023,0,[Fe/H],2.82,0.06,-0.06,0,20h58m25.88s,314.6078375,+10d50m20.90s,10.8391378,76.222,0.6217,-0.6217,5.51048,0.023,-0.023,3.366,0.204,-0.204,5.27476,0.0026539,-0.0026539
1RXS J160929.1-210524 b,1RXS J160929.1-210524,1,1,Imaging,2008,Gemini Observatory,0,,,,,330,,,0,18.647,,,0,1.664,,,0,3000,300,-300,0,8,1,-1,0,Mass,,,,,,,,,1700,100,-100,0,0,K7 V,4060,300,-200,0,1.31,0.18,-0.1,0,0.85,0.2,-0.1,0,,,,,,4,0.14,-0.1,0,16h09m30.30s,242.3762343,-21d04m59.31s,-21.0831403,139.135,1.332,-1.307,12.618,0.069,-0.069,8.916,0.021,-0.021,12.0572,0.002275,-0.002275
24 Boo b,24 Boo,1,1,Radial Velocity,2018,Okayama Astrophysical Observatory,0,30.3506,0.0078,-0.0077,0,0.19,0.012,-0.009,0,13.9,,,0,1.24,,,0,289.2253,41.3179,-31.783,0,0.91,0.13,-0.1,0,Msini,0.042,0.048,-0.029,0,,,,,,,,,0,G3 IV,4893,15,-15,0,10.64,0.84,-0.59,0,0.99,0.19,-0.13,0,-0.77,0.03,-0.03,0,[Fe/H],2.42,0.1,-0.1,0,14h28m37.33s,217.1555242,+49d50m40.74s,49.8446488,95.9863,0.63685,-0.63685,5.59,0.001,-0.001,3.159,0.28,-0.28,5.3339,0.0019998,-0.0019998
24 Sex b,24 Sex,1,2,Radial Velocity,2010,Lick Observatory,0,452.8,2.1,-4.5,0,1.333,0.004,-0.009,0,13.4,,,0,1.19,,,0,632.46,82.63,-120.77,0,1.99,0.26,-0.38,0,Msini,0.09,0.14,-0.06,0,,,,,,,,,0,K0 IV,5098,44,-44,0,4.9,0.08,-0.08,0,1.54,0.08,-0.08,0,-0.03,0.04,-0.04,0,[Fe/H],3.5,0.1,-0.1,0,10h23m28.44s,155.8684866,-00d54m08.64s,-0.9023998,72.0691,0.6854,-0.6728,6.4535,0.023,-0.023,4.285,0.016,-0.016,6.20374,0.0004976,-0.0004976
24 Sex c,24 Sex,1,2,Radial Velocity,2010,Lick Observatory,0,883,32.4,-13.8,0,2.08,0.05,-0.02,0,13.9,,,0,1.24,,,0,273.32,111.24,-69.92,0,0.86,0.35,-0.22,0,Msini,0.29,0.16,-0.09,0,,,,,,,,,0,K0 IV,5098,44,-44,0,4.9,0.08,-0.08,0,1.54,0.08,-0.08,0,-0.03,0.04,-0.04,0,[Fe/H],3.5,0.1,-0.1,0,10h23m28.44s,155.8684866,-00d54m08.64s,-0.9023998,72.0691,0.6854,-0.6728,6.4535,0.023,-0.023,4.285,0.016,-0.016,6.20374,0.0004976,-0.0004976
2MASS J01033563-5515561 AB b,2MASS J01033563-5515561 A,2,1,Imaging,2013,Paranal Observatory,0,,,,,84,,,0,12.3,,,0,1.1,,,0,4131.79,317.83,-317.83,0,13,1,-1,0,Mass,,,,,,,,,,,,,0,M5.5/M6,,,,,,,,,0.19,0.02,-0.02,0,,,,,,,,,,01h03m35.82s,15.8992489,-55d15m56.98s,-55.2658291,47.2,3.1,-3.1,15.788,0.275,-0.275,9.237001,0.022,-0.022,,,
2MASS J01225093-2439505 b,2MASS J01225093-2439505,1,1,Imaging,2013,W. M. Keck Observatory,0,,,,,52,6,-6,0,11.209,,,0,1,,,0,7786.5,794.5,-794.5,0,24.5,2.5,-2.5,0,Mass,,,,,,,,,1600,100,-100,0,0,M3.5 V,3530,50,-50,0,0.37,0.01,-0.01,0,0.4,0.05,-0.05,0,,,,,,4.86,0,0,0,01h22m51.07s,20.7128012,-24d39m52.61s,-24.6646128,33.8281,0.0864,-0.086,14.244,0.074,-0.074,9.198,0.026,-0.026,12.9025,0.001151,-0.001151
2MASS J02192210-3925225 b,2MASS J02192210-3925225,1,1,Imaging,2015,Cerro Tololo Inter-American Observatory,0,,,,,156,10,-10,0,16.141,0.336,-0.336,0,1.44,0.03,-0.03,0,4417.837,349.613,-349.613,0,13.9,1.1,-1.1,0,Mass,,,,,,,,,,,,,0,M6,3064,76,-76,0,0.28,0.01,-0.01,0,0.11,0.01,-0.01,0,,,,,,4.59,0.06,-0.06,0,02h19m22.25s,34.8427046,-39d25m23.08s,-39.4230767,40.0896412,0.1940496,-0.1940496,,,,10.404,0.025,-0.025,15.0123,0.000624,-0.000624
2MASS J04414489+2301513 b,2MASS J04414489+2301513,1,1,Imaging,2010,Hubble Space Telescope,0,,,,,15,,,0,12.6,,,0,1.13,,,0,2383.6,794.5,-794.5,0,7.5,2.5,-2.5,0,Mass,,,,,,,,,,,,,0,M8.5,2936,182,-182,0,0.23,0.01,-0.01,0,0.02,,,0,,,,,,5.01,0,0,0,04h41m44.91s,70.4371079,+23d01m51.08s,23.0308544,120.423987,5.4783417,-5.4783417,,,,13.161,0.025,-0.025,18.9668,0.006833,-0.006833
2MASS J12073346-3932539 b,2MASS J12073346-3932539,1,1,Imaging,2004,Paranal Observatory,0,,,,,46,5,-5,0,13,,,0,1.16,,,0,1271,318,-318,0,4,1,-1,0,Mass,,,,,,,,,1150,150,-150,0,0,M8,2825,157,-157,0,0.22,0.01,-0.01,0,0.19,0.02,-0.02,0,,,,,,5.03,0.02,-0.02,0,12h07m33.38s,181.8890906,-39d32m54.38s,-39.5484399,64.308,0.6569,-0.644,20.15,0.19,,11.945,0.026,-0.026,17.4076,0.002154,-0.002154
2MASS J19383260+4603591 b,2MASS J19383260+4603591,2,1,Eclipse Timing Variations,2015,Kepler,0,416,2,-2,0,0.92,0.02,-0.02,0,13.4,,,0,1.2,,,0,603.877,31.783,-31.783,0,1.9,0.1,-0.1,0,Mass,,,,,,,,,,,,,0,,10868,380,-380,0,0.34,0.03,-0.02,0,0.48,0.03,-0.03,0,-0.092,,,0,[Fe/H],3.91,,,0,19h38m32.62s,294.6359173,+46d03m59.07s,46.0664076,396.332,6.3885,-6.3885,12.651,0.215,-0.215,12.955,0.029,-0.029,12.1376,0.003687,-0.003687
2MASS J21402931+1625183 A b,2MASS J21402931+1625183 A,1,1,Imaging,2009,W. M. Keck Observatory,0,7336.5,1934.5,-584,0,,,,,10.31,4.37,-4.04,0,0.92,0.39,-0.36,0,6657.48,26629.91,-6657.48,0,20.95,83.79,-20.95,0,Mass,0.26,0.06,-0.06,0,,,,,2075,70,-70,0,0,M8.5,2300,80,-80,0,0.12,0.05,-0.04,0,0.08,0.06,-0.06,0,,,,,,5.22,0.05,-0.05,0,21h40m29.24s,325.1218214,+16d25m16.83s,16.4213408,33.1156898,0.4759328,-0.4759328,,,,11.826,0.031,-0.031,17.3961,0.004861,-0.004861
2MASS J22362452+4751425 b,2MASS J22362452+4751425,1,1,Imaging,2016,W. M. Keck Observatory,0,,,,,230,20,-20,0,12.3,,,0,1.1,,,0,3972.875,476.745,-476.745,0,12.5,1.5,-1.5,0,Mass,,,,,,,,,,,,,0,K7 V,4045,35,-35,0,0.64,0.06,-0.06,0,0.6,0.05,-0.05,0,,,,,,4.62,0.09,-0.13,0,22h36m24.62s,339.1025931,+47d51m42.06s,47.861683,69.5737,0.1592,-0.1585,12.368,0.057,-0.057,9.148,0.018,-0.018,11.9484,0.000737,-0.000737
30 Ari B b,30 Ari B,4,1,Radial Velocity,2009,Thueringer Landessternwarte Tautenburg,0,335.10001,2.5,-2.5,0,0.99,0.02,-0.02,0,12.3,,,0,1.1,,,0,4392.4106,572.094,-572.094,0,13.82,1.8,-1.8,0,Msini,0.29,0.09,-0.09,0,,,,,,,,,0,F6 V,6331,61,-61,0,1.41,0.05,-0.05,0,1.93,0.27,-0.27,0,0.19,,,0,[Fe/H],4.43,0.05,-0.05,0,02h36m57.91s,39.2412736,+24d38m52.84s,24.6480103,44.657,0.1039,-0.1034,7.09209,0.023,-0.023,5.822,0.021,-0.021,6.96085,0.000512,-0.000512
4 UMa b,4 UMa,1,1,Radial Velocity,2006,Thueringer Landessternwarte Tautenburg,0,269.3,1.96,-1.96,0,0.87,0.04,-0.04,0,12.7,,,0,1.13,,,0,2256.5,508.5,-508.5,0,7.1,1.6,-1.6,0,Msini,0.432,0.024,-0.024,0,,,,,,,,,0,K1 III,4415,70,-70,0,18.11,1.47,-1.47,0,1.23,0.15,-0.15,0,-0.25,0.04,-0.04,0,[Fe/H],1.8,0.15,-0.15,0,08h40m12.67s,130.0528099,+64d19m40.98s,64.3280504,73.4603,1.18605,-1.18605,4.5801,0.023,-0.023,1.734,0.218,-0.218,4.23773,0.0047288,-0.0047288
42 Dra b,42 Dra,2,1,Radial Velocity,2008,Thueringer Landessternwarte Tautenburg,0,479.1,6.2,-6.2,0,1.19,0.01,-0.01,0,13,,,0,1.16,,,0,1233.13,270.14,-270.14,0,3.88,0.85,-0.85,0,Msini,0.38,0.06,-0.06,0,,,,,,,,,0,K1.5 III,4200,70,-70,0,22.03,1,-1,0,0.98,0.05,-0.05,0,-0.46,0.05,-0.05,0,[Fe/H],1.71,0.05,-0.05,0,18h25m59.40s,276.4975053,+65d33m48.11s,65.5633652,90.6545,1.3227,-1.3227,4.8262,0.023,-0.023,2.085,0.216,-0.216,4.43216,0.006238,-0.006238
47 UMa b,47 UMa,1,3,Radial Velocity,1996,Lick Observatory,0,1078,2,-2,0,2.1,0.02,-0.02,0,13.2,,,0,1.18,,,0,804.08,22.25,-19.07,0,2.53,0.07,-0.06,0,Msini,0.032,0.014,-0.014,0,,,,,,,,,0,G0 V,5872,92.94,-113.53,0,1.21,0.04,-0.06,0,1.06,0.13,-0.14,0,0.04,0.1,-0.1,0,[M/H],4.3,0.07,-0.07,0,10h59m27.54s,164.8647611,+40d25m49.78s,40.4304931,13.7967,0.0289,-0.0289,5.03352,0.023,-0.023,3.75,0.34,-0.34,4.87837,0.0038294,-0.0038294
47 UMa c,47 UMa,1,3,Radial Velocity,2001,Lick Observatory,0,2391,100,-87,0,3.6,0.1,-0.1,0,14.2,,,0,1.27,,,0,171.621,20.976,-23.201,0,0.54,0.066,-0.073,0,Msini,0.098,0.047,-0.096,0,,,,,,,,,0,G1 V,5872,92.94,-113.53,0,1.21,0.04,-0.06,0,1.06,0.13,-0.14,0,0.04,0.1,-0.1,0,[M/H],4.3,0.07,-0.07,0,10h59m27.54s,164.8647611,+40d25m49.78s,40.4304931,13.7967,0.0289,-0.0289,5.03352,0.023,-0.023,3.75,0.34,-0.34,4.87837,0.0038294,-0.0038294
47 UMa d,47 UMa,1,3,Radial Velocity,2009,Lick Observatory,0,14002,4018,-5095,0,11.6,2.1,-2.9,0,13.5,,,0,1.2,,,0,521.22,92.17,-152.55,0,1.64,0.29,-0.48,0,Msini,0.16,0.09,-0.16,0,,,,,,,,,0,G0V,5872,92.94,-113.53,0,1.21,0.04,-0.06,0,1.06,0.13,-0.14,0,0.04,0.1,-0.1,0,[M/H],4.3,0.07,-0.07,0,10h59m27.54s,164.8647611,+40d25m49.78s,40.4304931,13.7967,0.0289,-0.0289,5.03352,0.023,-0.023,3.75,0.34,-0.34,4.87837,0.0038294,-0.0038294
51 Eri b,51 Eri,3,1,Imaging,2015,Gemini Observatory,0,11688,6209.25,-3287.25,0,12,4,-2,0,13.4,,,0,1.19,,,0,635.66,,,0,2,,,0,Mass,0.45,0.1,-0.15,0,,,,,700,,,0,0,F0 IV,7295,120.09,-98.99,0,1.49,0.05,-0.06,0,1.65,0.36,-0.18,0,-0.027,0.045,-0.045,0,[M/H],4.31,0.09,-0.07,0,04h37m36.18s,69.4007424,-02d28m25.77s,-2.4738245,29.7575,0.1213,-0.1203,5.21149,0.023,-0.023,4.537,0.024,-0.024,5.15806,0.0023075,-0.0023075
51 Peg b,51 Peg,1,1,Radial Velocity,1995,Haute-Provence Observatory,0,4.230785,0.000036,-0.000036,0,0.0527,0.003,-0.003,0,14.3,,,0,1.27,,,0,146.2018,19.0698,-3.1783,0,0.46,0.06,-0.01,0,Mass,0.013,0.012,-0.012,0,,,,,,,,,0,G5V,5758,101.62,-119.62,0,1.18,0.07,-0.04,0,1.03,0.17,-0.09,0,0.18,0.1,-0.1,0,[M/H],4.31,0.08,-0.06,0,22h57m28.21s,344.3675399,+20d46m08.74s,20.7690958,15.4614,0.0297,-0.0297,5.45309,0.023,-0.023,3.911,0.021,-0.021,5.28647,0.002768,-0.002768
55 Cnc b,55 Cnc,2,5,Radial Velocity,1996,Lick Observatory,0,14.6516,0.0001,-0.0001,0,0.1134,0.0006,-0.0006,0,13.9,,,0,1.24,,,0,263.9785,1.0488,-1.0488,0,0.8306,0.0033,-0.0033,0,Mass,0,0.01,-0.01,0,,,,,700,,,0,0,K0 IV-V,5172,18,-18,0,0.94,0.01,-0.01,0,0.91,0.01,-0.01,0,0.35,0.1,-0.1,0,[Fe/H],4.43,0.02,-0.02,0,08h52m35.24s,133.1468373,+28d19m47.34s,28.3298154,12.5855,0.0124,-0.0123,5.95084,0.023,-0.023,4.015,0.036,-0.036,5.72973,0.0008523,-0.0008523
55 Cnc c,55 Cnc,2,5,Radial Velocity,2004,McDonald Observatory,0,44.3989,0.0042,-0.0043,0,0.2373,0.0013,-0.0013,0,8.51,,,0,0.76,,,0,54.4738,1.748,-1.748,0,0.1714,0.0055,-0.0055,0,Mass,0.03,0.02,-0.02,0,,,,,,,,,0,G8V,5172,18,-18,0,0.94,0.01,-0.01,0,0.91,0.01,-0.01,0,0.35,0.1,-0.1,0,[Fe/H],4.43,0.02,-0.02,0,08h52m35.24s,133.1468373,+28d19m47.34s,28.3298154,12.5855,0.0124,-0.0123,5.95084,0.023,-0.023,4.015,0.036,-0.036,5.72973,0.0008523,-0.0008523
55 Cnc d,55 Cnc,2,5,Radial Velocity,2002,Lick Observatory,0,5574.2,93.8,-88.6,0,5.957,0.074,-0.071,0,13,,,0,1.16,,,0,1232.493,21.612,-21.612,0,3.878,0.068,-0.068,0,Mass,0.13,0.02,-0.02,0,,,,,,,,,0,G8 V,5172,18,-18,0,0.94,0.01,-0.01,0,0.91,0.01,-0.01,0,0.35,0.1,-0.1,0,[Fe/H],4.43,0.02,-0.02,0,08h52m35.24s,133.1468373,+28d19m47.34s,28.3298154,12.5855,0.0124,-0.0123,5.95084,0.023,-0.023,4.015,0.036,-0.036,5.72973,0.0008523,-0.0008523
55 Cnc e,55 Cnc,2,5,Radial Velocity,2004,McDonald Observatory,0,0.7365474,0.0000013,-0.0000014,0,0.01544,0.00005,-0.00005,0,1.875,0.029,-0.029,0,0.167,0.003,-0.003,0,7.99,0.32,-0.33,0,0.02514,0.00101,-0.00104,0,Mass,0.05,0.03,-0.03,0,,,,,1958,15,-15,0,0,G8 V,5172,18,-18,0,0.94,0.01,-0.01,0,0.91,0.01,-0.01,0,0.35,0.1,-0.1,0,[Fe/H],4.43,0.02,-0.02,0,08h52m35.24s,133.1468373,+28d19m47.34s,28.3298154,12.5855,0.0124,-0.0123,5.95084,0.023,-0.023,4.015,0.036,-0.036,5.72973,0.0008523,-0.0008523
55 Cnc f,55 Cnc,2,5,Radial Velocity,2007,Multiple Observatories,0,259.88,0.29,-0.29,0,0.7708,0.0043,-0.0044,0,7.59,,,0,0.677,,,0,44.812,3.814,-3.814,0,0.141,0.012,-0.012,0,Mass,0.08,0.05,-0.04,0,,,,,,,,,0,G8V,5172,18,-18,0,0.94,0.01,-0.01,0,0.91,0.01,-0.01,0,0.35,0.1,-0.1,0,[Fe/H],4.43,0.02,-0.02,0,08h52m35.24s,133.1468373,+28d19m47.34s,28.3298154,12.5855,0.0124,-0.0123,5.95084,0.023,-0.023,4.015,0.036,-0.036,5.72973,0.0008523,-0.0008523
6 Lyn b,6 Lyn,1,1,Radial Velocity,2008,Okayama Astrophysical Observatory,0,934.3,8.6,-8.6,0,2.11,0.11,-0.11,0,13.4,,,0,1.19,,,0,638.8383,24.47291,-24.47291,0,2.01,0.077,-0.077,0,Msini,0.073,0.036,-0.036,0,,,,,,,,,0,K0 IV,4938,,,0,5.2,,,0,1.44,,,0,-0.13,0.02,-0.02,0,[Fe/H],3.19,,,0,06h30m47.05s,97.6960311,+58d09m40.23s,58.1611753,54.6599,0.2734,-0.2734,5.87307,0.023,-0.023,3.701,0.3,-0.3,5.60686,0.001085,-0.001085
61 Vir b,61 Vir,1,3,Radial Velocity,2009,Multiple Observatories,0,4.215,0.0006,-0.0006,0,0.050201,0.000005,-0.000005,0,2.11,,,0,0.188,,,0,5.1,0.5,-0.5,0,0.016,0.002,-0.002,0,Msini,0.12,0.11,-0.11,0,,,,,,,,,0,G5 V,5577,33,-33,0,0.96,0.01,-0.01,0,0.94,0.03,-0.03,0,-0.01,,,0,[Fe/H],4.34,0.03,-0.03,0,13h18m23.15s,199.596455,-18d18m56.79s,-18.3157745,8.50332,0.01737,-0.0173,4.6955,0.0462,-0.0462,2.956,0.236,-0.236,4.54052,0.0055701,-0.0055701
61 Vir c,61 Vir,1,3,Radial Velocity,2009,Multiple Observatories,0,38.021,0.034,-0.034,0,0.2175,0.0001,-0.0001,0,4.46,,,0,0.398,,,0,18.2,1.1,-1.1,0,0.057,0.003,-0.003,0,Msini,0.14,0.06,-0.06,0,,,,,,,,,0,G5 V,5577,33,-33,0,0.96,0.01,-0.01,0,0.94,0.03,-0.03,0,-0.01,,,0,[Fe/H],4.34,0.03,-0.03,0,13h18m23.15s,199.596455,-18d18m56.79s,-18.3157745,8.50332,0.01737,-0.0173,4.6955,0.0462,-0.0462,2.956,0.236,-0.236,4.54052,0.0055701,-0.0055701
61 Vir d,61 Vir,1,3,Radial Velocity,2009,Multiple Observatories,0,123.01,0.55,-0.55,0,0.476,0.001,-0.001,0,5.11,,,0,0.456,,,0,22.9,2.6,-2.6,0,0.072,0.008,-0.008,0,Msini,0.35,0.09,-0.09,0,,,,,,,,,0,G5 V,5577,33,-33,0,0.96,0.01,-0.01,0,0.94,0.03,-0.03,0,-0.01,,,0,[Fe/H],4.34,0.03,-0.03,0,13h18m23.15s,199.596455,-18d18m56.79s,-18.3157745,8.50332,0.01737,-0.0173,4.6955,0.0462,-0.0462,2.956,0.236,-0.236,4.54052,0.0055701,-0.0055701
7 CMa b,7 CMa,1,2,Radial Velocity,2011,Anglo-Australian Telescope,0,735.1,14.8,-1,0,1.758,0.024,-0.001,0,13.4,,,0,1.2,,,0,587.9855,19.0698,-19.0698,0,1.85,0.06,-0.06,0,Msin(i)/sin(i),0.06,0.03,-0.03,0,,,,,,,,,0,K1 III,4826,45,-55,0,4.87,0.17,-0.14,0,1.34,0.11,-0.12,0,0.21,0.1,-0.1,0,[Fe/H],3.19,0.06,-0.07,0,06h36m41.11s,99.171276,-19d15m22.25s,-19.2561808,19.8101,0.1648,-0.1648,3.95,0.03,-0.03,1.564,0.252,-0.252,3.67853,0.0041348,-0.0041348
7 CMa c,7 CMa,1,2,Radial Velocity,2019,Multiple Observatories,0,996,1.5,-52.4,0,2.153,0.003,-0.08,0,13.9,,,0,1.24,,,0,276.5121,19.0698,-19.0698,0,0.87,0.06,-0.06,0,Msin(i)/sin(i),0.08,0.05,-0.04,0,,,,,,,,,0,K1III(+M),4826,45,-55,0,4.87,0.17,-0.14,0,1.34,0.11,-0.12,0,0.21,0.1,-0.1,0,[Fe/H],3.19,0.06,-0.07,0,06h36m41.11s,99.171276,-19d15m22.25s,-19.2561808,19.8101,0.1648,-0.1648,3.95,0.03,-0.03,1.564,0.252,-0.252,3.67853,0.0041348,-0.0041348
70 Vir b,70 Vir,1,1,Radial Velocity,1996,Lick Observatory,0,116.688,0.0054,-0.0054,0,0.481,0.022,-0.022,0,12.6,,,0,1.13,,,0,2380.45,193.87,-193.87,0,7.49,0.61,-0.61,0,Mass,0.3988,0.0019,-0.0019,0,,,,,,,,,0,G5V,5495,,,0,1.89,,,0,1.09,,,0,-0.09,0.03,-0.03,0,[Fe/H],3.95,,,0,13h28m25.56s,202.1064898,+13d46m34.71s,13.7763085,17.9011,0.056,-0.0557,4.96808,0.023,-0.023,3.5,0.294,-0.294,4.76178,0.0044158,-0.0044158
75 Cet b,75 Cet,2,1,Radial Velocity,2012,Okayama Astrophysical Observatory,0,691.9,3.6,-3.6,0,2.1,,,0,13.1,,,0,1.17,,,0,953.49,,,0,3,,,0,Msini,0.117,0.048,-0.048,0,,,,,,,,,0,G3 III,4846,18,-18,0,10.5,1,-1,0,2.49,0.02,-0.27,0,0,0.04,-0.04,0,[Fe/H],2.63,0.05,-0.05,0,02h32m09.40s,38.0391598,-01d02m06.10s,-1.0350269,82.9613,0.72365,-0.72365,5.3532,0.023,-0.023,3.207,0.272,-0.272,5.09343,0.0039324,-0.0039324
8 UMi b,8 UMi,1,1,Radial Velocity,2015,Bohyunsan Optical Astronomical Observatory,0,93.4,4.5,-4.5,0,0.49,0.02,-0.02,0,13.6,,,0,1.22,,,0,416.3573,50.8528,-50.8528,0,1.31,0.16,-0.16,0,Msini,0.06,0.09,-0.09,0,,,,,,,,,0,K0,4847,7,-7,0,10.3,0.57,-0.57,0,1.44,0.19,-0.19,0,-0.03,,,0,[Fe/H],2.57,0.03,-0.03,0,14h56m48.40s,224.201685,+74d54m03.38s,74.9009379,162.552,0.651,-0.646,6.83295,0.023,-0.023,4.515,0.02,-0.02,6.55896,0.000237,-0.000237
81 Cet b,81 Cet,1,1,Radial Velocity,2008,Okayama Astrophysical Observatory,0,952.7,8.8,-8.8,0,2.5,,,0,12.8,,,0,1.14,,,0,1684.4,,,0,5.3,,,0,Msini,0.206,0.029,-0.029,0,,,,,,,,,0,G5 III,4785,25,-25,0,11,2,-1,0,2.4,0.1,-0.4,0,-0.06,0.03,-0.03,0,[Fe/H],2.35,0.08,-0.08,0,02h37m41.85s,39.4243555,-03d23m46.90s,-3.3963607,101.26,1.222,-1.222,5.64307,0.023,-0.023,3.266,0.258,-0.258,5.37588,0.0031065,-0.0031065
91 Aqr b,91 Aqr,3,1,Radial Velocity,2013,Lick Observatory,0,181.4,0.1,-0.1,0,0.7,,,0,13.1,,,0,1.17,,,0,1017,,,0,3.2,,,0,Msini,0.027,0.026,-0.026,0,,,,,,,,,0,K0 III,4665,18,-18,0,11,0.1,-0.1,0,1.4,0.1,-0.1,0,-0.03,0.1,-0.1,0,[Fe/H],2.52,0.05,-0.05,0,23h15m53.88s,348.9745031,-09d05m16.11s,-9.0878076,44.0304,0.51325,-0.51325,4.23946,0.023,-0.023,1.597,0.236,-0.236,3.95311,0.008843,-0.008843
AB Pic b,AB Pic,1,1,Imaging,2005,Paranal Observatory,0,,,,,260,,,0,12.3,,,0,1.1,,,0,4290.5,158.9,-158.9,0,13.5,0.5,-0.5,0,Mass,,,,,,,,,,,,,0,K2 V,5285,10,-9,0,1,0.03,-0.02,0,0.9,0.1,-0.1,0,0.04,0.02,-0.02,0,[Fe/H],4.53,0.01,-0.01,0,06h19m12.94s,94.8039208,-58d03m14.83s,-58.0541184,50.0475,0.0735,-0.0733,9.13,0.03,-0.03,6.981,0.024,-0.024,8.8378,0.001332,-0.001332
