pl_name,hostname,st_rad,st_raderr1,st_raderr2,st_radlim,st_mass,st_masserr1,st_masserr2,st_masslim
11 Com b,11 Com,19,2,-2,0,2.7,0.3,-0.3,0
11 Com b,11 Com,,,,,2.6,0.4,-0.3,0
11 UMi b,11 UMi,,,,,1.7,0.4,-0.3,0
11 UMi b,11 UMi,29.79,2.84,-2.84,0,2.78,0.69,-0.69,0
11 UMi b,11 UMi,24.08,1.84,-1.84,0,1.8,0.25,-0.25,0
14 And b,14 And,11,1,-1,0,2.2,0.1,-0.2,0
14 And b,14 And,,,,,1.2,0.4,-0.3,0
14 Her b,14 Her,,,,,,,,
14 Her b,14 Her,,,,,0.9,,,0
14 Her b,14 Her,0.93,0.01,-0.01,0,0.9,0.04,-0.04,0
14 Her b,14 Her,,,,,0.9,,,0
14 Her b,14 Her,,,,,1,,,0
14 Her b,14 Her,1,0.05,-0.08,0,0.91,0.14,-0.09,0
16 Cyg B b,16 Cyg B,,,,,1,0.05,-0.05,0
16 Cyg B b,16 Cyg B,1.13,0.08,-0.05,0,1.03,0.15,-0.12,0
16 Cyg B b,16 Cyg B,,,,,0.99,,,0
16 Cyg B b,16 Cyg B,1.13,0.01,-0.01,0,1.08,0.04,-0.04,0
16 Cyg B b,16 Cyg B,,,,,,,,
18 Del b,18 Del,,,,,2.1,0.1,-0.1,0
18 Del b,18 Del,8.5,,,0,2.3,,,0
1RXS J160929.1-210524 b,1RXS J160929.1-210524,1.31,0.18,-0.1,0,0.62,0.06,-0.11,0
1RXS J160929.1-210524 b,1RXS J160929.1-210524,,,,,0.85,0.2,-0.1,0
1RXS J160929.1-210524 b,1RXS J160929.1-210524,,,,,0.85,0.2,-0.1,0
1RXS J160929.1-210524 b,1RXS J160929.1-210524,1.35,,,0,0.85,0.2,-0.1,0
24 Boo b,24 Boo,10.64,0.84,-0.59,0,0.99,0.19,-0.13,0
24 Sex b,24 Sex,4.9,0.08,-0.08,0,1.54,0.08,-0.08,0
24 Sex c,24 Sex,4.9,0.08,-0.08,0,1.54,0.08,-0.08,0
2MASS J01033563-5515561 AB b,2MASS J01033563-5515561 A,,,,,0.19,0.02,-0.02,0
2MASS J01225093-2439505 b,2MASS J01225093-2439505,,,,,0.4,0.05,-0.05,0
2MASS J01225093-2439505 b,2MASS J01225093-2439505,0.37,0.01,-0.01,0,0.35,0.02,-0.02,0
2MASS J02192210-3925225 b,2MASS J02192210-3925225,0.28,0.01,-0.01,0,0.11,0.01,-0.01,0
2MASS J04414489+2301513 b,2MASS J04414489+2301513,,,,,0.02,,,0
2MASS J12073346-3932539 b,2MASS J12073346-3932539,,,,,0.02,,,0
2MASS J12073346-3932539 b,2MASS J12073346-3932539,0.22,0.01,-0.01,0,0.19,0.02,-0.02,0
2MASS J19383260+4603591 b,2MASS J19383260+4603591,,,,,0.48,0.03,-0.03,0
2MASS J21402931+1625183 A b,2MASS J21402931+1625183 A,0.12,0.05,-0.04,0,0.08,0.06,-0.06,0
2MASS J22362452+4751425 b,2MASS J22362452+4751425,,,,,0.6,0.05,-0.05,0
30 Ari B b,30 Ari B,1.13,0.03,-0.03,0,1.16,0.04,-0.04,0
30 Ari B b,30 Ari B,1.13,0.03,-0.03,0,1.16,0.04,-0.04,0
30 Ari B b,30 Ari B,1.41,0.05,-0.05,0,1.93,0.27,-0.27,0
4 UMa b,4 UMa,18.11,1.47,-1.47,0,1.23,0.15,-0.15,0
42 Dra b,42 Dra,22.03,1,-1,0,0.98,0.05,-0.05,0
47 UMa b,47 UMa,,,,,,,,
47 UMa b,47 UMa,,,,,1.06,0.03,-0.03,0
47 UMa b,47 UMa,1.21,0.04,-0.06,0,1.06,0.13,-0.14,0
47 UMa b,47 UMa,,,,,,,,
47 UMa c,47 UMa,,,,,,,,
47 UMa c,47 UMa,1.21,0.04,-0.06,0,1.06,0.13,-0.14,0
47 UMa d,47 UMa,1.21,0.04,-0.06,0,1.06,0.13,-0.14,0
51 Eri b,51 Eri,1.49,0.05,-0.06,0,1.65,0.36,-0.18,0
51 Eri b,51 Eri,,,,,1.75,0.05,-0.05,0
51 Eri b,51 Eri,1.49,0.05,-0.06,0,1.65,0.36,-0.18,0
51 Peg b,51 Peg,,,,,1.04,,,0
51 Peg b,51 Peg,1.18,0.07,-0.04,0,1.03,0.17,-0.09,0
51 Peg b,51 Peg,,,,,,,,
51 Peg b,51 Peg,1.29,,,0,,,,
55 Cnc b,55 Cnc,,,,,,,,
55 Cnc b,55 Cnc,,,,,0.95,,,0
55 Cnc b,55 Cnc,0.96,0.08,-0.05,0,0.9,0.14,-0.09,0
55 Cnc b,55 Cnc,,,,,,,,
55 Cnc b,55 Cnc,0.96,0.08,-0.05,0,0.9,0.14,-0.09,0
55 Cnc b,55 Cnc,0.96,0.08,-0.05,0,0.9,0.14,-0.09,0
55 Cnc b,55 Cnc,,,,,0.85,,,0
55 Cnc b,55 Cnc,,,,,0.95,0.08,-0.08,0
55 Cnc b,55 Cnc,0.94,0.01,-0.01,0,0.91,0.01,-0.01,0
55 Cnc b,55 Cnc,0.96,0.08,-0.05,0,0.9,0.14,-0.09,0
55 Cnc b,55 Cnc,,,,,0.95,,,0
55 Cnc c,55 Cnc,,,,,0.95,,,0
55 Cnc c,55 Cnc,0.94,0.01,-0.01,0,0.91,0.01,-0.01,0
55 Cnc c,55 Cnc,0.96,0.08,-0.05,0,0.9,0.14,-0.09,0
55 Cnc c,55 Cnc,0.96,0.08,-0.05,0,0.9,0.14,-0.09,0
55 Cnc c,55 Cnc,0.96,0.08,-0.05,0,0.9,0.14,-0.09,0
55 Cnc c,55 Cnc,,,,,0.95,0.08,-0.08,0
55 Cnc c,55 Cnc,0.96,0.08,-0.05,0,0.9,0.14,-0.09,0
55 Cnc d,55 Cnc,,,,,0.95,,,0
55 Cnc d,55 Cnc,0.96,0.08,-0.05,0,0.9,0.14,-0.09,0
55 Cnc d,55 Cnc,0.94,0.01,-0.01,0,0.91,0.01,-0.01,0
55 Cnc d,55 Cnc,,,,,,,,
55 Cnc d,55 Cnc,0.96,0.08,-0.05,0,0.9,0.14,-0.09,0
55 Cnc d,55 Cnc,0.96,0.08,-0.05,0,0.9,0.14,-0.09,0
55 Cnc d,55 Cnc,0.96,0.08,-0.05,0,0.9,0.14,-0.09,0
55 Cnc d,55 Cnc,,,,,0.95,,,0
55 Cnc d,55 Cnc,,,,,0.95,0.08,-0.08,0
55 Cnc e,55 Cnc,,,,,0.95,0.08,-0.08,0
55 Cnc e,55 Cnc,0.96,0.08,-0.05,0,0.9,0.14,-0.09,0
55 Cnc e,55 Cnc,0.95,0.02,-0.02,0,0.87,0.05,-0.04,0
55 Cnc e,55 Cnc,,,,,0.95,,,0
55 Cnc e,55 Cnc,0.96,0.08,-0.05,0,0.9,0.14,-0.09,0
55 Cnc e,55 Cnc,0.96,0.08,-0.05,0,0.9,0.14,-0.09,0
55 Cnc e,55 Cnc,0.94,0.01,-0.01,0,0.96,0.05,-0.03,0
55 Cnc e,55 Cnc,0.94,0.01,-0.01,0,0.91,0.01,-0.01,0
55 Cnc e,55 Cnc,0.96,0.08,-0.05,0,0.9,0.14,-0.09,0
55 Cnc e,55 Cnc,0.94,0.01,-0.01,0,0.91,0.01,-0.01,0
55 Cnc e,55 Cnc,,,,,,,,
55 Cnc e,55 Cnc,0.96,0.08,-0.05,0,0.9,0.14,-0.09,0
55 Cnc e,55 Cnc,0.96,0.08,-0.05,0,0.9,0.14,-0.09,0
55 Cnc f,55 Cnc,,,,,0.95,,,0
55 Cnc f,55 Cnc,0.96,0.08,-0.05,0,0.9,0.14,-0.09,0
55 Cnc f,55 Cnc,0.96,0.08,-0.05,0,0.9,0.14,-0.09,0
55 Cnc f,55 Cnc,0.96,0.08,-0.05,0,0.9,0.14,-0.09,0
55 Cnc f,55 Cnc,0.94,0.01,-0.01,0,0.91,0.01,-0.01,0
55 Cnc f,55 Cnc,0.96,0.08,-0.05,0,0.9,0.14,-0.09,0
6 Lyn b,6 Lyn,5.2,0.4,-0.3,0,1.7,0.1,-0.2,0
6 Lyn b,6 Lyn,5.2,0.4,-0.3,0,1.82,0.13,-0.13,0
6 Lyn b,6 Lyn,5.2,,,0,1.44,,,0
61 Vir b,61 Vir,0.96,0.01,-0.01,0,0.94,0.03,-0.03,0
61 Vir c,61 Vir,0.96,0.01,-0.01,0,0.94,0.03,-0.03,0
61 Vir d,61 Vir,0.96,0.01,-0.01,0,0.94,0.03,-0.03,0
7 CMa b,7 CMa,2.3,0.1,-0.1,0,1.52,0.3,-0.3,0
7 CMa b,7 CMa,4.91,,,0,,,,
7 CMa b,7 CMa,4.87,0.17,-0.14,0,1.34,0.11,-0.12,0
7 CMa c,7 CMa,4.87,0.17,-0.14,0,1.34,0.11,-0.12,0
70 Vir b,70 Vir,1.89,,,0,1.09,,,0
70 Vir b,70 Vir,1.84,0.03,-0.03,0,1.14,0.08,-0.08,0
70 Vir b,70 Vir,,,,,1.11,,,0
70 Vir b,70 Vir,,,,,,,,
70 Vir b,70 Vir,1.94,0.05,-0.05,0,1.09,0.02,-0.02,0
75 Cet b,75 Cet,10.5,1,-1,0,2.49,0.02,-0.27,0
8 UMi b,8 UMi,9.9,0.4,-0.4,0,1.8,0.1,-0.1,0
8 UMi b,8 UMi,10.3,0.57,-0.57,0,1.44,0.19,-0.19,0
81 Cet b,81 Cet,,,,,1.6,0.4,-0.2,0
81 Cet b,81 Cet,11,2,-1,0,2.4,0.1,-0.4,0
91 Aqr b,91 Aqr,11,0.1,-0.1,0,1.4,0.1,-0.1,0
AB Pic b,AB Pic,,,,,,,,
AU Mic b,AU Mic,0.75,0.03,-0.03,0,0.5,0.03,-0.03,0
BD+03 2562 b,BD+03 2562,32.35,8.82,-8.82,0,1.14,0.25,-0.25,0
BD+14 4559 b,BD+14 4559,0.86,0.04,-0.04,0,0.49,0.33,-0.33,0
BD+14 4559 b,BD+14 4559,0.95,0.2,-0.2,0,0.86,0.15,-0.15,0
BD+15 2375 b,BD+15 2375,8.95,1.45,-1.45,0,1.08,0.14,-0.14,0
BD+15 2940 b,BD+15 2940,14.7,2.8,-2.8,0,1.1,0.2,-0.2,0
BD+20 2457 b,BD+20 2457,49,26,-26,0,2.8,1.5,-1.5,0
BD+20 2457 b,BD+20 2457,71.02,73.63,-73.63,0,10.83,22.96,-22.96,0
BD+20 2457 c,BD+20 2457,49,26,-26,0,2.8,1.5,-1.5,0
BD+20 274 b,BD+20 274,17.3,0.9,-0.9,0,0.8,0.2,-0.2,0
BD+20 594 b,BD+20 594,0.96,0.1,-0.05,0,0.96,0.03,-0.03,0
BD+20 594 b,BD+20 594,0.96,0.1,-0.05,0,,,,
BD+20 594 b,BD+20 594,0.93,0.06,-0.04,0,0.96,0.03,-0.03,0
BD+20 594 b,BD+20 594,1.08,0.06,-0.06,0,1.67,0.4,-0.4,0
BD+48 738 b,BD+48 738,11,1,-1,0,0.74,0.39,-0.39,0
BD+48 740 b,BD+48 740,10.33,1.81,-1.81,0,1.09,0.16,-0.16,0
BD+49 828 b,BD+49 828,7.6,1.3,-1.3,0,1.52,0.22,-0.22,0
BD-06 1339 b,BD-06 1339,,,,,0.7,,,0
BD-06 1339 c,BD-06 1339,,,,,0.7,,,0
BD-08 2823 b,BD-08 2823,,,,,0.74,0.07,-0.07,0
BD-08 2823 b,BD-08 2823,0.71,0.04,-0.04,0,0.5,0.26,-0.26,0
BD-08 2823 c,BD-08 2823,,,,,0.74,0.07,-0.07,0
BD-10 3166 b,BD-10 3166,,,,,1.01,,,0
BD-10 3166 b,BD-10 3166,0.91,0.04,-0.04,0,1.47,0.24,-0.24,0
BD-10 3166 b,BD-10 3166,,,,,1.1,0.1,-0.1,0
BD-11 4672 b,BD-11 4672,0.52,0.02,-0.02,0,0.57,0.01,-0.01,0
BD-11 4672 b,BD-11 4672,0.64,0.02,-0.02,0,0.65,0.03,-0.03,0
BD-11 4672 c,BD-11 4672,0.64,0.02,-0.02,0,0.65,0.03,-0.03,0
BD-13 2130 b,BD-13 2130,,,,,2.4,0.2,-0.2,0
BD-13 2130 b,BD-13 2130,19.17,4.96,-4.96,0,2.12,1.47,-1.47,0
BD-17 63 b,BD-17 63,0.69,,,0,0.74,0.03,-0.03,0
BD-17 63 b,BD-17 63,0.74,0.04,-0.04,0,0.31,0.19,-0.19,0
CFBDSIR J145829+101343 b,CFBDSIR J145829+101343,,,,,0.02,0.01,-0.01,0
CHXR 73 b,CHXR 73,,,,,0.35,,,0
CI Tau b,CI Tau,,,,,0.9,0.02,-0.02,0
CT Cha b,CT Cha,,,,,,,,
CoRoT-1 b,CoRoT-1,1.14,0.03,-0.03,0,1.03,0.06,-0.06,0
CoRoT-1 b,CoRoT-1,1.23,0.02,-0.02,0,1.22,0.03,-0.03,0
CoRoT-1 b,CoRoT-1,1.11,0.05,-0.05,0,0.95,0.15,-0.15,0
CoRoT-1 b,CoRoT-1,,,,,,,,
CoRoT-1 b,CoRoT-1,1.13,0.05,-0.05,0,0.95,0.11,-0.11,0
CoRoT-10 b,CoRoT-10,0.79,0.05,-0.05,0,0.89,0.05,-0.05,0
CoRoT-10 b,CoRoT-10,0.74,0.06,-0.06,0,0.9,0.04,-0.04,0
CoRoT-10 b,CoRoT-10,0.79,0.05,-0.05,0,0.89,0.05,-0.05,0
CoRoT-11 b,CoRoT-11,1.37,0.03,-0.03,0,1.27,0.05,-0.05,0
CoRoT-11 b,CoRoT-11,1.37,0.03,-0.03,0,1.27,0.05,-0.05,0
CoRoT-11 b,CoRoT-11,1.37,0.06,-0.06,0,1.26,0.14,-0.14,0
CoRoT-11 b,CoRoT-11,1.36,0.13,-0.13,0,1.56,0.1,-0.1,0
CoRoT-11 b,CoRoT-11,1.33,0.04,-0.04,0,1.23,0.03,-0.03,0
CoRoT-12 b,CoRoT-12,1.12,0.1,-0.09,0,1.08,0.08,-0.07,0
CoRoT-12 b,CoRoT-12,1.05,0.05,-0.05,0,1,0.1,-0.1,0
CoRoT-12 b,CoRoT-12,1.05,0.04,-0.04,0,1.02,0.09,-0.09,0
CoRoT-12 b,CoRoT-12,1.12,0.1,-0.09,0,1.08,0.08,-0.07,0
CoRoT-13 b,CoRoT-13,1.27,0.08,-0.08,0,1.09,0.09,-0.09,0
CoRoT-13 b,CoRoT-13,1.01,0.03,-0.03,0,1.09,0.02,-0.02,0
CoRoT-13 b,CoRoT-13,1.01,0.03,-0.03,0,1.09,0.02,-0.02,0
CoRoT-14 b,CoRoT-14,1.19,0.14,-0.14,0,1.12,0.1,-0.1,0
CoRoT-14 b,CoRoT-14,1.21,0.08,-0.08,0,1.13,0.09,-0.09,0
CoRoT-14 b,CoRoT-14,1.21,0.08,-0.08,0,1.13,0.09,-0.09,0
CoRoT-16 b,CoRoT-16,1.19,0.14,-0.13,0,1.1,0.08,-0.08,0
CoRoT-16 b,CoRoT-16,1.19,0.14,-0.13,0,1.1,0.08,-0.08,0
CoRoT-17 b,CoRoT-17,1.62,0.47,-0.13,0,1.04,0.07,-0.05,0
CoRoT-17 b,CoRoT-17,1.59,0.07,-0.07,0,1.04,0.1,-0.1,0
CoRoT-17 b,CoRoT-17,1.59,0.07,-0.07,0,1.04,0.1,-0.1,0
CoRoT-18 b,CoRoT-18,1,0.13,-0.13,0,0.95,0.15,-0.15,0
CoRoT-18 b,CoRoT-18,0.88,0.03,-0.03,0,0.88,0.07,-0.07,0
CoRoT-18 b,CoRoT-18,1,0.13,-0.13,0,0.95,0.15,-0.15,0
CoRoT-18 b,CoRoT-18,0.92,0.06,-0.06,0,0.86,0.06,-0.06,0
CoRoT-19 b,CoRoT-19,1.65,0.04,-0.04,0,1.21,0.05,-0.05,0
CoRoT-19 b,CoRoT-19,1.58,0.35,-0.1,0,1.18,0.13,-0.08,0
CoRoT-19 b,CoRoT-19,1.65,0.04,-0.04,0,1.21,0.05,-0.05,0
CoRoT-2 b,CoRoT-2,,,,,,,,
CoRoT-2 b,CoRoT-2,0.94,0.07,-0.12,0,0.97,0.14,-0.1,0
CoRoT-2 b,CoRoT-2,0.91,0.03,-0.03,0,0.96,0.08,-0.08,0
CoRoT-2 b,CoRoT-2,,,,,,,,
CoRoT-2 b,CoRoT-2,0.9,0.02,-0.02,0,0.97,0.06,-0.06,0
CoRoT-2 b,CoRoT-2,0.91,0.02,-0.02,0,1.02,0.05,-0.05,0
CoRoT-2 b,CoRoT-2,0.9,0.02,-0.02,0,0.97,0.06,-0.06,0
CoRoT-2 b,CoRoT-2,0.9,0.02,-0.02,0,1,0.05,-0.05,0
CoRoT-20 b,CoRoT-20,1.02,0.05,-0.05,0,1.14,0.08,-0.08,0
CoRoT-20 b,CoRoT-20,1.16,0.15,-0.2,0,1.1,0.1,-0.1,0
CoRoT-20 b,CoRoT-20,,,,,1.14,0.08,-0.08,0
CoRoT-20 b,CoRoT-20,1.02,0.05,-0.05,0,1.14,0.08,-0.08,0
CoRoT-20 b,CoRoT-20,1.34,0.37,-0.37,0,1.11,0.1,-0.1,0
CoRoT-20 c,CoRoT-20,,,,,1.14,0.08,-0.08,0
CoRoT-21 b,CoRoT-21,1.95,0.21,-0.21,0,1.29,0.09,-0.09,0
CoRoT-21 b,CoRoT-21,1.95,0.21,-0.21,0,1.29,0.09,-0.09,0
CoRoT-22 b,CoRoT-22,1.14,0.04,-0.09,0,1.1,0.05,-0.05,0
CoRoT-23 b,CoRoT-23,1.61,0.18,-0.18,0,1.14,0.08,-0.08,0
CoRoT-23 b,CoRoT-23,1.61,0.18,-0.18,0,1.14,0.08,-0.08,0
CoRoT-23 b,CoRoT-23,1.74,0.26,-0.16,0,1.12,0.09,-0.07,0
CoRoT-24 b,CoRoT-24,0.86,0.09,-0.09,0,0.91,0.09,-0.09,0
CoRoT-24 c,CoRoT-24,0.86,0.09,-0.09,0,0.91,0.09,-0.09,0
CoRoT-25 b,CoRoT-25,1.19,0.14,-0.03,0,1.09,0.11,-0.05,0
CoRoT-25 b,CoRoT-25,1.19,0.14,-0.03,0,1.09,0.11,-0.05,0
CoRoT-26 b,CoRoT-26,1.79,0.18,-0.09,0,1.09,0.06,-0.06,0
CoRoT-26 b,CoRoT-26,1.79,0.18,-0.09,0,1.09,0.06,-0.06,0
CoRoT-27 b,CoRoT-27,1.08,0.18,-0.06,0,1.05,0.11,-0.11,0
CoRoT-27 b,CoRoT-27,1.08,0.18,-0.06,0,1.05,0.11,-0.11,0
CoRoT-28 b,CoRoT-28,1.78,0.11,-0.11,0,1.01,0.14,-0.14,0
CoRoT-28 b,CoRoT-28,1.78,0.11,-0.11,0,1.01,0.14,-0.14,0
CoRoT-29 b,CoRoT-29,1.08,,,0,0.9,,,0
CoRoT-29 b,CoRoT-29,0.9,0.12,-0.12,0,0.97,0.14,-0.14,0
CoRoT-29 b,CoRoT-29,0.9,0.12,-0.12,0,0.97,0.14,-0.14,0
CoRoT-3 b,CoRoT-3,1.56,0.09,-0.09,0,1.37,0.09,-0.09,0
CoRoT-3 b,CoRoT-3,1.56,0.09,-0.09,0,1.37,0.09,-0.09,0
CoRoT-3 b,CoRoT-3,1.57,0.1,-0.1,0,1.4,0.06,-0.06,0
CoRoT-3 b,CoRoT-3,1.44,0.08,-0.08,0,1.41,0.08,-0.08,0
CoRoT-3 b,CoRoT-3,1.54,0.08,-0.08,0,1.36,0.06,-0.04,0
CoRoT-30 b,CoRoT-30,0.91,0.09,-0.03,0,0.98,0.03,-0.05,0
CoRoT-31 b,CoRoT-31,2.15,0.56,-0.66,0,1.25,0.22,-0.21,0
CoRoT-4 b,CoRoT-4,1.17,0.01,-0.03,0,1.16,0.03,-0.02,0
CoRoT-4 b,CoRoT-4,1.15,0.09,-0.03,0,1.19,0.05,-0.05,0
CoRoT-4 b,CoRoT-4,1.17,0.01,-0.03,0,1.16,0.03,-0.02,0
CoRoT-5 b,CoRoT-5,1.11,0.04,-0.03,0,0.99,0.07,-0.07,0
CoRoT-5 b,CoRoT-5,1.19,0.04,-0.04,0,1,0.02,-0.02,0
CoRoT-5 b,CoRoT-5,1.19,0.04,-0.04,0,1,0.02,-0.02,0
CoRoT-5 b,CoRoT-5,1.05,0.08,-0.07,0,1.02,0.1,-0.06,0
CoRoT-6 b,CoRoT-6,1.02,0.03,-0.03,0,1.05,0.05,-0.05,0
CoRoT-6 b,CoRoT-6,1.02,0.03,-0.03,0,1.05,0.05,-0.05,0
CoRoT-6 b,CoRoT-6,1.04,0.03,-0.03,0,1.05,0.06,-0.06,0
CoRoT-7 b,CoRoT-7,0.87,0.04,-0.04,0,0.93,0.03,-0.03,0
CoRoT-7 b,CoRoT-7,0.83,0.04,-0.04,0,0.82,0.17,-0.17,0
CoRoT-7 b,CoRoT-7,0.86,0.05,-0.04,0,0.9,0.12,-0.1,0
CoRoT-7 b,CoRoT-7,0.82,0.02,-0.02,0,0.91,0.02,-0.02,0
CoRoT-7 b,CoRoT-7,0.84,0.01,-0.01,0,0.88,0.03,-0.03,0
CoRoT-7 b,CoRoT-7,0.96,0.15,-0.15,0,0.88,0.07,-0.07,0
CoRoT-7 b,CoRoT-7,0.86,0.05,-0.04,0,0.9,0.12,-0.1,0
CoRoT-7 c,CoRoT-7,0.86,0.05,-0.04,0,0.9,0.12,-0.1,0
CoRoT-7 c,CoRoT-7,0.86,0.05,-0.04,0,0.9,0.12,-0.1,0
CoRoT-8 b,CoRoT-8,0.9,0.09,-0.09,0,0.88,0.09,-0.09,0
CoRoT-8 b,CoRoT-8,0.8,0.01,-0.01,0,0.89,0.04,-0.04,0
CoRoT-8 b,CoRoT-8,0.77,0.02,-0.02,0,0.88,0.04,-0.04,0
CoRoT-8 b,CoRoT-8,0.77,0.02,-0.02,0,0.88,0.04,-0.04,0
CoRoT-9 b,CoRoT-9,0.96,0.06,-0.06,0,0.96,0.04,-0.04,0
CoRoT-9 b,CoRoT-9,0.94,0.04,-0.04,0,0.99,0.04,-0.04,0
CoRoT-9 b,CoRoT-9,0.96,0.06,-0.06,0,0.96,0.04,-0.04,0
CoRoT-9 b,CoRoT-9,0.94,0.06,-0.06,0,0.96,0.08,-0.08,0
CoRoTID 223977153 b,CoRoTID 223977153,0.79,0.08,-0.09,0,1.08,0.08,-0.07,0
DE CVn b,DE CVn,,,,,0.51,,,0
DENIS-P J082303.1-491201 b,DENIS-P J082303.1-491201,,,,,0.07,0.01,-0.01,0
DH Tau b,DH Tau,1.37,,,0,0.68,,,0
DH Tau b,DH Tau,0.27,0.07,-0.07,0,0.33,,,0
DMPP-1 b,DMPP-1,1.26,0.02,-0.02,0,1.21,0.03,-0.03,0
DMPP-1 c,DMPP-1,1.26,0.02,-0.02,0,1.21,0.03,-0.03,0
DMPP-1 d,DMPP-1,1.26,0.02,-0.02,0,1.21,0.03,-0.03,0
DMPP-1 e,DMPP-1,1.26,0.02,-0.02,0,1.21,0.03,-0.03,0
DMPP-2 b,DMPP-2,1.78,0.09,-0.09,0,1.44,0.03,-0.03,0
DMPP-3 A b,DMPP-3 A,0.91,0.02,-0.02,0,0.87,0.05,-0.05,0
DMPP-3 A b,DMPP-3 A,,,,,,,,
DP Leo b,DP Leo,,,,,0.69,,,0
DP Leo b,DP Leo,,,,,,,,
DS Tuc A b,DS Tuc A,0.96,0.03,-0.03,0,1.01,0.06,-0.06,0
DS Tuc A b,DS Tuc A,0.87,0.03,-0.03,0,0.96,0.03,-0.03,0
DS Tuc A b,DS Tuc A,0.95,0.07,-0.07,0,,,,
EPIC 201170410.02,EPIC 201170410,0.28,0.07,-0.07,0,0.29,0.1,-0.08,0
EPIC 201238110 b,EPIC 201238110,0.37,0.09,-0.04,0,,,,
EPIC 201238110 b,EPIC 201238110,,,,,0.41,0.11,-0.05,0
EPIC 201497682 b,EPIC 201497682,,,,,0.78,0.09,-0.17,0
EPIC 201615463 c,K2-166,,,,,1.07,0.03,-0.03,0
EPIC 201754305 d,K2-16,,,,,0.67,0.03,-0.04,0
EPIC 201757695.02,EPIC 201757695,0.66,0.04,-0.04,0,0.73,0.04,-0.05,0
EPIC 201833600 c,K2-50,,,,,0.61,0.06,-0.06,0
EPIC 201833600 c,K2-50,0.63,0.04,-0.04,0,,,,
EPIC 201841433 b,EPIC 201841433,,,,,0.8,0.08,-0.16,0
EPIC 201841433 b,EPIC 201841433,0.63,0.04,-0.02,0,0.8,0.08,-0.16,0
EPIC 201841433 b,EPIC 201841433,0.63,0.03,-0.04,0,,,,
EPIC 205950854 c,K2-168,0.83,0.09,-0.04,0,0.88,0.06,-0.03,0
EPIC 205950854 c,K2-168,,,,,0.91,0.03,-0.03,0
EPIC 205950854 c,K2-168,0.9,0.04,-0.01,0,,,,
EPIC 206024342 b,EPIC 206024342,,,,,0.93,0.08,-0.1,0
EPIC 206024342 b,EPIC 206024342,0.82,0.1,-0.04,0,,,,
EPIC 206032309 b,EPIC 206032309,,,,,0.22,0.04,-0.06,0
EPIC 206042996 b,EPIC 206042996,0.67,0.07,-0.04,0,,,,
EPIC 206042996 b,EPIC 206042996,,,,,0.56,0.05,-0.05,0
EPIC 206215704 b,EPIC 206215704,0.37,0.08,-0.07,0,,,,
EPIC 206215704 b,EPIC 206215704,,,,,0.41,0.1,-0.08,0
EPIC 206317286 b,EPIC 206317286,0.67,0.04,-0.05,0,,,,
EPIC 206317286 b,EPIC 206317286,,,,,0.71,0.09,-0.03,0
EPIC 211822797 b,EPIC 211822797,0.59,0.03,-0.03,0,,,,
EPIC 211822797 b,EPIC 211822797,0.6,0.02,-0.02,0,0.59,0.02,-0.02,0
EPIC 211822797 b,EPIC 211822797,0.6,0.02,-0.02,0,0.59,0.02,-0.02,0
EPIC 211822797 b,EPIC 211822797,0.59,0.03,-0.03,0,0.61,0.02,-0.02,0
EPIC 211822797 b,EPIC 211822797,0.64,0.06,-0.02,0,,,,
EPIC 211822797 b,EPIC 211822797,0.57,0.03,-0.03,0,0.66,0.07,-0.07,0
EPIC 211822797 b,EPIC 211822797,0.6,0.02,-0.02,0,0.59,0.02,-0.02,0
EPIC 211945201 b,EPIC 211945201,1.41,0.21,-0.18,0,,,,
EPIC 211945201 b,EPIC 211945201,1.4,0.04,-0.03,0,,,,
EPIC 211945201 b,EPIC 211945201,1.38,0.02,-0.02,0,1.18,0.03,-0.04,0
EPIC 211945201 b,EPIC 211945201,1.48,,,0,,,,
EPIC 211945201 b,EPIC 211945201,1.49,0.36,-0.36,0,,,,
EPIC 211945201 b,EPIC 211945201,1.36,0.08,-0.04,0,1.16,0.15,-0.16,0
EPIC 211945201 b,EPIC 211945201,1.36,0.08,-0.04,0,1.16,0.15,-0.16,0
EPIC 211945201 b,EPIC 211945201,1.39,0.02,-0.02,0,1.17,0.04,-0.04,0
EPIC 212297394 b,EPIC 212297394,0.75,0.03,-0.01,0,,,,
EPIC 212297394 b,EPIC 212297394,,,,,0.83,0.09,-0.12,0
EPIC 212424622 b,EPIC 212424622,1.22,0,-0.05,0,,,,
EPIC 212424622 b,EPIC 212424622,,,,,1.11,0.14,-0.12,0
EPIC 212499991 b,EPIC 212499991,,,,,0.91,0.04,-0.16,0
EPIC 212587672 b,EPIC 212587672,0.98,0.01,-0.01,0,,,,
EPIC 212587672 b,EPIC 212587672,,,,,0.95,0.04,-0.04,0
EPIC 212737443 b,EPIC 212737443,0.67,,,0,0.72,,,0
EPIC 212737443 b,EPIC 212737443,0.67,,,0,0.72,,,0
EPIC 212737443 b,EPIC 212737443,0.67,0.02,-0.02,0,0.69,0.04,-0.04,0
EPIC 212737443 c,EPIC 212737443,0.67,0.02,-0.02,0,0.69,0.04,-0.04,0
EPIC 220554210 c,K2-282,1.01,0.04,-0.04,0,,,,
EPIC 220554210 c,K2-282,,,,,0.94,0.04,-0.04,0
EPIC 220674823 b,EPIC 220674823,1.02,0.03,-0.02,0,,,,
